Table 2 
Properties of High-redshift Broad-line AGNs


Source^a	Field^b	ID^c	z	log([N II]lambda6583/Halpha)	log L_bol^d	log(M_BH/M_sun)	log lambda_Edd	
KM10	CCLS	543	1.300	-0.46	45.12	8.38	-1.37	
KM10	CCLS	1930	1.565	-0.08	45.87	8.61	-0.86	
KM13	CCLS	142	0.699	-0.06	45.41	8.04	-0.75	
KM13	CCLS	192	1.222	-0.18	45.44	7.68	-0.35	
KM13	CCLS	208	1.242	-0.11	46.19	9.10	-1.02	
KM13	CCLS	607	1.297	-0.22	45.99	8.21	-0.33	
KM13	CCLS	1194	1.314	-0.16	44.87	7.56	-0.80	
KM13	CCLS	549	1.319	-0.19	46.59	8.99	-0.51	
KM13	CCLS	112	1.322	-0.08	46.06	8.62	-0.68	
KM13	CCLS	463	1.327	0.08	45.42	7.37	-0.07	
KM13	CCLS	157	1.332	-0.10	45.46	8.28	-0.94	
KM13	CCLS	604	1.345	-0.41	45.57	7.57	-0.12	
KM13	CCLS	546	1.407	-0.00	45.90	8.69	-0.90	
KM13	CCLS	499	1.454	-0.11	46.25	8.70	-0.57	
KM13	CCLS	119	1.505	-0.17	45.48	8.05	-0.69	
KM13	CCLS	1044	1.561	0.19	46.10	8.50	-0.52	
KM13	CCLS	216	1.567	-0.09	45.23	7.65	-0.54	
KM13	CCLS	305	1.572	-0.32	45.73	8.62	-1.00	
KM13	CCLS	255	1.667	-0.32	45.64	8.15	-0.62	
N12	SXDS	328	0.809	-0.15	44.81	8.20	-1.50	
N12	SXDS	353	0.989	-0.52	44.65	7.40	-0.86	
N12	SXDS	332	1.385	-0.64	45.63	8.30	-0.78	
N12	SXDS	763	1.413	-0.19	45.75	8.00	-0.36	
N12	SXDS	735	1.447	-0.01	45.36	8.40	-1.15	
N12	SXDS	18	1.452	-0.12	45.72	8.90	-1.29	
N12	SXDS	1216	1.472	-0.28	45.85	9.30	-1.56	
N12	SXDS	969	1.585	-0.32	45.13	8.20	-1.18	
N12	SXDS	632	1.593	-0.06	45.72	9.10	-1.49	
S15	CDFS	716	0.763	-0.37	44.93	7.98	-1.16	
S15	LH	456	0.877	-0.52	45.28	7.53	-0.36	
S15	CDFS	329	0.954	-0.15	44.26	6.97	-0.82	
S15	LH	475	1.205	-0.49	47.07	9.08	-0.12	
S15	CDFS	417	1.222	-0.26	45.33	9.03	-1.81	
S15	LH	406	1.283	-0.17	45.39	8.87	-1.59	
S15	LH	119	1.406	-0.17	45.25	8.47	-1.33	
S15	LH	553	1.440	-0.54	46.36	8.75	-0.50	
S15	LH	25	1.599	-0.18	44.52	7.15	-0.74	
S15	CDFS	89	1.613	-0.24	44.44	7.54	-1.21	
S15	CDFS	358	1.626	-0.44	45.64	8.28	-0.75	
H16	SXDS	194	0.627	-0.94	44.48	7.52	-1.15	
H16	SXDS	827	0.658	-0.30	44.62	7.49	-0.99	
H16	CDFS	629	0.667	0.08	43.96	8.13	-2.29	
H16	SXDS	393	0.822	-0.28	44.73	7.95	-1.34	
H16	SXDS	600	0.873	-0.26	44.46	7.07	-0.73	
H16	SXDS	883	0.961	0.26	45.67	8.23	-0.67	
H16	CDFS	101	0.977	-0.02	45.25	8.51	-1.37	
S19	CCLS	110	0.729	-0.42	44.92	7.70	-0.89	
S19	CCLS	381	0.767	-0.74	45.16	7.57	-0.52	
S19	CCLS	644	0.986	-0.19	45.18	8.10	-1.03	
S19	CCLS	454	1.485	0.07	45.32	8.24	-1.04	
S19	CCLS	512	1.516	0.03	45.64	8.13	-0.60	
S19	CCLS	1590	1.596	-0.26	45.65	8.71	-1.17	
S19	CCLS	1273	1.622	-0.37	45.18	8.46	-1.39	
Notes.
^a Source: KM10 (Merloni et al. 2010; Kartaltepe et al. 2015); KM13 (Matsuoka et al. 2013; Kartaltepe et al. 2015); N12 (Nobuta et al. 2012); S15 (Suh et al. 2015); H16 (Harrison et al. 2016); S19 (H. Suh et al. 2019, in preparation).
^b Field name used to measure 2-10 keV luminosity: CCLS (Civano et al. 2016); SXDS (Ueda et al. 2008); CDFS (Xue et al. 2011); LH (Brunner et al. 2008).
^c X-ray source ID from the literature.
^d In units of erg s^-1.
